experience_bucket,employee_count,avg_salary
0 to 2,57,99047.12
3 to 5,115,100225.98
6 to 8,114,102043.84
9 to 11,100,107087.27
12 to 14,97,108198.13
15 to 17,101,122028.28
18 to 20,116,125877.21
